ID,time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
AS14.01,2014-02-17,,,,,,2.0,,,,,,,,,,,,,
AS14.01,2014-02-18,,,,,,1.0,,,,,,,,,,,,,
AS14.01,2014-02-19,,,,,,7.0,2.0,,,,,,,,,,,,
AS14.01,2014-02-20,,,,,,2.0,3.0,,,,,,,,,,,,
AS14.01,2014-02-21,,,,,,0.0,1.0,,,,,,,,,,,,
AS14.01,2014-02-22,,,,,,2.0,1.0,,,,,,,,,,,,
AS14.01,2014-02-23,,,,,,0.0,0.0,,,,,,,,,,,,
AS14.01,2014-02-24,,,,,,0.0,0.0,,,,,,,,,,,,
AS14.01,2014-02-25,,,,,,3.0,0.0,,,,,,,,,,,,
AS14.01,2014-02-26,6.25,-0.25,0.75,,,1.0,2.0,,,,,,,,,,,,
AS14.01,2014-02-27,6.333333333333333,0.0,0.3333333333333333,,,0.0,0.0,,,,,,,,,,,,
AS14.01,2014-02-28,,,,,,4.0,0.0,,,,,,,,,,,,
AS14.01,2014-03-01,,,,,,0.0,1.0,,,,,,,,,,,,
AS14.01,2014-03-02,,,,,,0.0,0.0,,,,,,,,,,,,
AS14.01,2014-03-03,,,,,,1.0,0.0,,,,,,,,,,,,
AS14.01,2014-03-04,,,,,,0.0,0.0,,,,,,,,,,,,
AS14.01,2014-03-05,,,,,,1.0,0.0,,,,,,,,,,,,
AS14.01,2014-03-06,,,,,,1.0,0.0,,,,,,,,,,,,
AS14.01,2014-03-07,,,,,,5.0,0.0,,,,,,,,,,,,
AS14.01,2014-03-08,,,,,,0.0,0.0,,,,,,,,,,,,
AS14.01,2014-03-09,,,,,,0.0,0.0,,,,,,,,,,,,
AS14.01,2014-03-10,,,,,,1.0,0.0,,,,,,,,,,,,
AS14.01,2014-03-11,,,,,,3.0,0.0,,,,,,,,,,,,
AS14.01,2014-03-12,,,,,,7.0,1.0,,,,,,,,,,,,
AS14.01,2014-03-13,,,,,,4.0,0.0,,,,,,,,,,,,
AS14.01,2014-03-14,,,,,,3.0,1.0,,,,,,,,,,,,
AS14.01,2014-03-15,,,,,,0.0,1.0,,,,,,,,,,,,
AS14.01,2014-03-16,,,,,,0.0,3.0,,,,,,,,,,,,
AS14.01,2014-03-17,,,,,,0.0,1.0,,,,,,,,,,,,
AS14.01,2014-03-18,,,,,,1.0,2.0,,,,,,,,,,,,
AS14.01,2014-03-19,,,,,,1.0,0.0,,,,,,,,,,,,
AS14.01,2014-03-20,,,,0.1630952380952381,128.8430004119874,1.0,0.0,106.40400000000002,428.43,8.215,,,,11.345,326.157,,,1.002,
AS14.01,2014-03-21,6.2,0.2,0.2,3.0831523917559385,1423.2499997615812,6.0,0.0,637.4630000000001,1473.5629999999996,31.333000000000002,49.544000000000004,,5.479,50.465,1460.99,110.13499999999999,,152.542,
AS14.01,2014-03-22,6.4,0.6,0.5,3.79008350783933,1715.8189992904663,3.0,1.0,324.32900000000006,948.0269999999998,4.01,21.076,,0.0,60.565000000000005,231.512,37.305,,0.0,
AS14.01,2014-03-23,6.8,0.2,0.8,2.141116737075955,1227.2550015449524,0.0,0.0,331.7729999999999,935.6040000000002,4.028,20.201999999999998,,0.0,40.604,426.429,0.0,,0.0,
AS14.01,2014-03-24,6.0,0.8,0.0,1.8950653467743512,2790.2540016174316,10.0,0.0,573.0870000000001,2436.2450000000013,40.16900000000001,34.106,,3.01,66.55799999999999,915.0529999999999,35.004999999999995,,10.064,
AS14.01,2014-03-25,6.75,0.5,0.5,2.360978697372162,1697.3759989738464,0.0,1.0,283.73699999999997,1726.9819999999995,0.0,22.073999999999998,,0.0,31.68,540.9290000000001,0.0,79.546,41.807,
AS14.01,2014-03-26,6.6,-0.2,0.6,2.4313997200818225,2855.8500006198883,0.0,0.0,366.26000000000005,2291.18,2.024,52.331,,0.0,56.525,461.20799999999986,0.0,0.0,0.0,
AS14.01,2014-03-27,7.0,0.2,0.8,3.509234101320145,2084.524999856949,2.0,1.0,517.677,2103.449,16.054,20.055999999999997,,13.29,37.461,291.15000000000003,47.314,0.0,78.55499999999999,
AS14.01,2014-03-28,6.4,-0.6,0.6,2.2967525192908838,1246.6359992027285,5.0,0.0,387.73400000000015,458.852,4.023,46.863,41.125,0.0,23.169,432.391,191.72699999999998,0.0,69.545,
AS14.01,2014-03-29,8.0,0.2,1.0,1.6368674424448715,825.9260001182554,4.0,1.0,291.442,700.7909999999999,24.442999999999998,0.0,0.0,0.0,55.489,101.739,52.435,0.0,88.044,
AS14.01,2014-03-30,7.5,-0.5,0.75,0.6873015873015881,295.07800054550177,0.0,0.0,191.516,249.71999999999994,0.0,0.0,0.0,0.0,43.634,38.281,0.0,18.061,0.0,
AS14.01,2014-03-31,7.4,0.0,0.6,1.6921315412013493,1647.740999937057,6.0,0.0,572.5540000000002,1461.0000000000002,124.33099999999999,41.255,51.176,0.0,46.666,537.692,183.381,29.29,86.50300000000001,
AS14.01,2014-04-01,6.0,0.2,0.0,2.8426378251056637,2592.179000377655,1.0,0.0,653.4899999999996,2236.064,64.868,184.48,105.936,3.159,49.382000000000005,1989.1570000000002,96.609,0.0,200.543,
AS14.01,2014-04-02,6.5,0.3333333333333333,0.6666666666666666,2.445998655317363,3104.980999946594,4.0,0.0,663.5460000000002,2431.281000000001,67.33200000000001,107.011,0.0,,88.927,863.297,0.0,0.0,56.964000000000006,
AS14.01,2014-04-03,6.4,-1.2,0.0,1.181723345002586,3205.7220001220708,4.0,0.0,701.4439999999995,3754.0330000000004,84.56800000000001,13.032,0.0,,113.231,1189.4800000000002,19.082,0.0,67.673,
